¿¬µµ,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
2014,ÇÑÈ­,128,111,70,41.0,63.1,46,5.0
2014,·Ôµ¥,128,104,63,41.0,60.6,49,2.0
2015,NC,144,264,204,60.0,77.3,50,14.0
2015,»ï¼º,144,209,157,52.0,75.1,60,6.0
2015,KT,144,176,124,52.0,70.5,58,10.0
2015,KIA,144,165,115,50.0,69.7,60,13.0
2015,LG,144,175,113,62.0,64.6,55,9.0
2015,µÎ»ê,144,158,111,47.0,70.3,56,6.0
2015,·Ôµ¥,144,154,104,50.0,67.5,56,9.0
2015,³Ø¼¾,144,147,100,47.0,68.0,72,16.0
2015,SK,144,153,94,59.0,61.4,59,14.0
2015,ÇÑÈ­,144,127,80,47.0,63.0,57,14.0
2016,³Ø¼¾,144,237,154,83.0,65.0,56,11.0
2016,·Ôµ¥,144,209,145,64.0,69.4,55,10.0
2016,LG,144,191,121,70.0,63.4,70,13.0
2016,»ï¼º,144,154,104,50.0,67.5,51,5.0
2016,KIA,144,151,101,50.0,66.9,52,12.0
2016,NC,144,140,99,41.0,70.7,48,3.0
2016,KT,144,142,96,46.0,67.6,58,11.0
2016,SK,144,149,89,60.0,59.7,71,8.0
2016,µÎ»ê,144,130,85,45.0,65.4,64,4.0
2016,ÇÑÈ­,144,102,64,38.0,62.7,58,10.0
2017,»ï¼º,144,135,98,37.0,72.6,53,6.0
2017,NC,144,125,93,32.0,74.4,59,7.0
2017,·Ôµ¥,144,136,92,44.0,67.6,52,10.0
2017,KT,144,137,86,51.0,62.8,54,8.0
2017,LG,144,133,77,56.0,57.9,50,9.0
2017,KIA,144,110,76,34.0,69.1,46,8.0
2017,³Ø¼¾,144,104,70,34.0,67.3,55,2.0
2017,µÎ»ê,144,102,69,33.0,67.6,36,8.0
2017,ÇÑÈ­,144,108,64,44.0,59.3,58,12.0
2017,SK,144,95,53,42.0,55.8,33,7.0
2018,ÇÑÈ­,144,182,118,64.0,64.8,58,10.0
2018,»ï¼º,144,168,116,52.0,69.0,46,4.0
2018,SK,144,147,108,39.0,73.5,51,10.0
2018,³Ø¼¾,144,134,101,33.0,75.4,45,6.0
2018,µÎ»ê,144,119,96,23.0,80.7,54,7.0
2018,KIA,144,125,88,37.0,70.4,53,6.0
2018,NC,144,117,82,35.0,70.1,48,8.0
2018,KT,144,137,80,57.0,58.4,63,7.0
2018,LG,144,109,71,38.0,65.1,48,7.0
2018,·Ôµ¥,144,100,68,32.0,68.0,46,10.0
2019,SK,144,168,118,50.0,70.2,51,12.0
2019,Å°¿ò,144,143,110,33.0,76.9,37,6.0
2019,LG,144,155,108,47.0,69.7,38,6.0
2019,»ï¼º,144,149,107,42.0,71.8,45,7.0
2019,ÇÑÈ­,144,156,105,51.0,67.3,51,6.0
2019,KT,144,148,104,44.0,70.3,58,8.0
2019,µÎ»ê,144,140,102,38.0,72.9,59,7.0
2019,KIA,144,129,87,42.0,67.4,61,7.0
2019,NC,144,132,87,45.0,65.9,53,7.0
2019,·Ôµ¥,144,96,65,31.0,67.7,49,8.0
2020,»ï¼º,144,181,132,49.0,72.9,42,14.0
2020,Å°¿ò,144,140,113,27.0,80.7,40,11.0
2020,KT,144,156,106,50.0,67.9,49,6.0
2020,NC,144,139,101,38.0,72.7,49,7.0
2020,·Ôµ¥,144,121,90,31.0,74.4,52,3.0
2020,µÎ»ê,144,125,88,37.0,70.4,63,4.0
2020,LG,144,122,83,39.0,68.0,64,5.0
2020,SK,144,126,81,45.0,64.3,44,16.0
2020,ÇÑÈ­,144,87,51,36.0,58.6,43,4.0
2020,KIA,144,72,47,25.0,65.3,47,6.0
