¿¬µµ,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2019,Å°¿ò,3.61,144.0,86.0,57.0,39.0,91.0,0.601,1279,1293.0,61.0,371.0,58.0,984.0,572.0,513.0,1.3,2,12,76,11,5427,20160.0,0.263,244,24,42,39,3,45,6.0
2019,LG,3.86,144.0,79.0,64.0,43.0,62.0,0.552,1283+1/3,1257.0,89.0,499.0,91.0,953.0,633.0,551.0,1.37,1,9,73,13,5555,20969.0,0.258,223,23,40,48,15,64,1.0
2019,NC,4.01,144.0,73.0,69.0,32.0,68.0,0.514,1284+1/3,1285.0,103.0,483.0,92.0,991.0,631.0,572.0,1.38,5,8,60,17,5578,21407.0,0.262,199,19,41,54,10,68,2.0
2019,KT,4.29,144.0,71.0,71.0,37.0,59.0,0.5,1277,1303.0,118.0,481.0,61.0,848.0,661.0,608.0,1.4,2,10,62,9,5533,20662.0,0.266,225,25,47,42,17,50,6.0
2019,»ï¼º,4.64,144.0,60.0,83.0,29.0,60.0,0.42,1275+1/3,1332.0,125.0,523.0,70.0,924.0,731.0,658.0,1.45,4,8,54,15,5638,21721.0,0.269,253,37,40,56,9,49,5.0
2019,KIA,4.65,144.0,62.0,80.0,30.0,64.0,0.437,1264,1362.0,101.0,504.0,76.0,976.0,723.0,653.0,1.48,3,11,59,13,5614,21353.0,0.276,257,24,35,61,17,51,2.0
2019,ÇÑÈ­,4.8,144.0,58.0,86.0,28.0,43.0,0.403,1268+2/3,1407.0,120.0,526.0,72.0,934.0,737.0,677.0,1.52,2,8,48,17,5656,21848.0,0.283,238,19,44,44,9,66,4.0
2019,·Ôµ¥,4.83,144.0,48.0,93.0,16.0,47.0,0.34,1271,1407.0,120.0,546.0,71.0,1033.0,764.0,682.0,1.54,1,8,47,17,5729,21946.0,0.282,242,20,58,64,33,103,4.0
2020,µÎ»ê,4.31,144.0,79.0,61.0,23.0,45.0,0.564,1285+2/3,1395.0,109.0,478.0,61.0,1046.0,695.0,616.0,1.46,1,13,63,15,5681,22408.0,0.276,258,25,48,41,22,52,4.0
2020,LG,4.37,144.0,79.0,61.0,29.0,67.0,0.564,1292+2/3,1344.0,123.0,493.0,86.0,1019.0,694.0,627.0,1.42,2,13,70,19,5655,21725.0,0.27,240,17,38,56,12,49,4.0
2020,Å°¿ò,4.39,144.0,80.0,63.0,42.0,81.0,0.559,1280+1/3,1336.0,126.0,446.0,73.0,950.0,692.0,624.0,1.39,0,6,53,18,5556,21349.0,0.27,208,15,50,39,16,51,7.0
2020,KT,4.54,144.0,81.0,62.0,33.0,71.0,0.566,1290+1/3,1357.0,118.0,523.0,59.0,848.0,715.0,651.0,1.46,0,5,56,23,5680,21496.0,0.271,227,9,45,48,20,75,1.0
2020,NC,4.58,144.0,83.0,55.0,31.0,88.0,0.601,1296+2/3,1292.0,153.0,547.0,79.0,1049.0,714.0,660.0,1.42,0,7,59,19,5690,22362.0,0.26,199,15,53,35,10,65,7.0
2020,·Ôµ¥,4.64,144.0,71.0,72.0,25.0,59.0,0.497,1277+1/3,1351.0,143.0,447.0,58.0,1002.0,720.0,659.0,1.41,1,16,59,18,5583,21520.0,0.271,241,17,51,40,25,62,4.0
2020,»ï¼º,4.78,144.0,64.0,75.0,25.0,80.0,0.46,1272+1/3,1330.0,151.0,542.0,67.0,931.0,745.0,676.0,1.47,3,11,53,19,5634,22269.0,0.27,222,16,50,47,16,55,5.0
2020,KIA,5.13,144.0,73.0,71.0,33.0,79.0,0.507,1270,1399.0,120.0,559.0,70.0,1038.0,795.0,724.0,1.54,1,5,57,18,5681,22134.0,0.284,265,34,59,59,8,78,4.0
2020,ÇÑÈ­,5.28,144.0,46.0,95.0,21.0,54.0,0.326,1265,1400.0,158.0,609.0,79.0,1019.0,820.0,742.0,1.59,1,6,40,15,5756,22882.0,0.282,240,18,51,57,22,76,5.0
2020,SK,5.57,144.0,51.0,92.0,20.0,53.0,0.357,1259+1/3,1343.0,162.0,670.0,84.0,953.0,846.0,780.0,1.6,1,3,47,19,5727,22729.0,0.275,225,17,41,46,12,85,5.0
