연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2003,키퍼,두산,3.79,29,8,7,0,0,0.533,168+2/3,160,15,46,17,77,78,71,1.22,3,1,14,0,711,2591,0.254,26,2,16,1,2,2,0,29,8,0,3,0,0,12,189,206,0.92
2003,리오스,KIA,3.82,30,10,13,0,0,0.435,188+2/3,186,19,62,28,121,93,80,1.31,2,0,19,0,820,3086,0.263,42,1,15,8,1,5,0,30,10,0,2,0,0,15,239,169,1.41
2003,정민철,한화,4.0,26,11,10,0,0,0.524,139+2/3,132,18,51,4,73,65,62,1.31,0,0,10,0,598,2245,0.249,19,2,5,7,1,6,1,26,11,0,0,0,0,6,141,192,0.73
2003,김진웅,삼성,4.05,32,9,11,1,0,0.45,153+1/3,151,19,70,5,99,75,69,1.44,0,0,11,0,672,2640,0.264,23,1,18,5,2,6,1,25,7,2,4,2,1,8,145,183,0.79
2003,스미스,SK,4.2,30,7,10,0,0,0.412,152,157,9,61,9,82,84,71,1.43,1,1,11,0,662,2546,0.275,26,1,15,6,1,4,1,27,7,0,2,0,0,15,219,119,1.84
2003,배영수,삼성,4.51,30,13,5,0,0,0.722,163+2/3,174,11,77,7,99,85,82,1.53,1,0,12,0,722,2803,0.281,38,4,10,8,0,12,1,30,13,0,1,0,0,11,172,183,0.94
2003,김수경,현대,4.63,29,10,9,0,0,0.526,167,184,14,70,4,121,96,86,1.52,1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0,29,10,0,1,0,0,13,154,191,0.81
2004,박명환,두산,2.5,26,12,3,0,0,0.8,158+2/3,130,4,52,7,162,50,44,1.15,0,0,15,0,651,2583,0.224,15,0,9,2,1,8,0,26,12,0,0,0,0,17,174,117,1.49
2004,레스,두산,2.6,29,17,8,0,0,0.68,200+2/3,189,12,57,15,116,68,58,1.23,4,2,21,0,831,2986,0.256,20,2,18,4,3,6,0,29,17,0,4,0,0,23,255,181,1.41
2004,배영수,삼성,2.61,35,17,2,0,0,0.895,189+2/3,163,6,74,11,144,65,55,1.25,4,2,17,0,792,3083,0.237,21,1,10,9,1,13,1,27,16,1,5,1,0,14,218,172,1.27
2004,리오스,KIA,2.87,32,17,8,0,0,0.68,222+2/3,209,10,70,25,145,75,71,1.25,3,2,23,0,932,3506,0.254,27,1,11,2,1,3,0,32,17,0,3,0,0,25,254,218,1.17
2004,권오준,삼성,3.23,47,11,5,2,7,0.688,153+1/3,128,15,40,7,142,56,55,1.1,0,0,7,0,619,2373,0.229,28,1,12,2,2,3,0,17,9,2,6,13,0,9,153,137,1.12
2004,피어리,현대,3.32,28,16,6,0,0,0.727,181+2/3,166,24,61,9,130,73,67,1.25,0,0,20,0,759,2936,0.245,24,1,11,1,0,1,1,28,16,0,0,0,0,20,236,146,1.62
2004,송진우,한화,3.61,28,11,8,1,0,0.579,172,162,19,44,7,100,73,69,1.2,1,0,16,0,729,2692,0.246,27,1,15,4,1,5,0,26,11,0,3,0,0,9,206,195,1.06
