연도,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
2015.0,마르테,KT,0.348,115.0,487.0,425.0,85.0,148.0,32.0,1.0,20.0,242.0,89.0,0.0,8.0,51.0,7.0,2.0,60.0,19.0,0.569,0.414,0.983,44.0,0.305,0.5,21,87,122,0.71,0,0.76,3.81,0.085,53.7,0.265
2015.0,박병호,넥센,0.343,140.0,622.0,528.0,129.0,181.0,35.0,1.0,53.0,377.0,146.0,0.0,4.0,78.0,6.0,12.0,161.0,10.0,0.714,0.436,1.15,50.0,0.375,0.0,29,124,113,1.1,0,0.71,3.93,0.118,64.3,0.267
2015.0,이용규,한화,0.341,124.0,585.0,493.0,94.0,168.0,15.0,7.0,4.0,209.0,42.0,11.0,4.0,68.0,5.0,9.0,45.0,4.0,0.424,0.427,0.851,49.0,0.35,0.0,18,117,84,1.39,0,1.19,3.9,0.084,52.7,0.264
2015.0,이승엽,삼성,0.332,122.0,522.0,470.0,87.0,156.0,28.0,1.0,26.0,264.0,90.0,0.0,6.0,40.0,2.0,6.0,71.0,10.0,0.562,0.387,0.949,45.0,0.321,0.0,34,99,114,0.87,0,0.51,3.68,0.156,65.4,0.273
2015.0,박용택,LG,0.326,128.0,533.0,487.0,66.0,159.0,28.0,2.0,18.0,245.0,83.0,1.0,7.0,34.0,1.0,4.0,73.0,12.0,0.503,0.37,0.873,50.0,0.357,0.0,46,96,144,0.67,0,0.58,3.8,0.191,71.0,0.285
2015.0,나성범,NC,0.326,144.0,622.0,564.0,112.0,184.0,34.0,5.0,28.0,312.0,135.0,3.0,8.0,32.0,1.0,15.0,127.0,9.0,0.553,0.373,0.926,57.0,0.367,0.5,28,141,118,1.19,0,0.83,3.9,0.081,60.4,0.257
2015.0,김현수,두산,0.326,141.0,630.0,512.0,103.0,167.0,26.0,0.0,28.0,277.0,121.0,0.0,9.0,101.0,12.0,8.0,63.0,13.0,0.541,0.438,0.979,50.0,0.333,0.0,29,162,140,1.16,0,0.87,4.04,0.112,76.0,0.263
2015.0,양의지,두산,0.326,132.0,513.0,442.0,70.0,144.0,27.0,0.0,20.0,231.0,93.0,2.0,6.0,39.0,3.0,24.0,64.0,7.0,0.523,0.405,0.928,45.0,0.283,0.4,42,102,137,0.74,0,1.22,4.2,0.19,73.2,0.296
2015.0,필,KIA,0.325,143.0,591.0,536.0,81.0,174.0,35.0,1.0,22.0,277.0,101.0,0.0,9.0,43.0,6.0,3.0,74.0,12.0,0.517,0.372,0.889,55.0,0.333,0.5,26,126,96,1.31,0,0.52,3.67,0.087,60.7,0.255
2015.0,박석민,삼성,0.321,135.0,559.0,448.0,90.0,144.0,25.0,0.0,26.0,247.0,116.0,1.0,8.0,83.0,0.0,19.0,97.0,13.0,0.551,0.441,0.992,32.0,0.42,0.5,33,117,145,0.81,0,0.69,3.75,0.119,61.3,0.259
