¿¬µµ,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2003,SK,0.272,133,5157,4445,644,1208,209,16,156,1917,612,127,32.0,464,10,89,763,87.0,0.431,0.35,0.781,133.0,0.269,0.19
2003,·Ôµ¥,0.256,133,4987,4465,491,1143,232,18,73,1630,451,83,28.0,338,11,73,848,75.0,0.365,0.317,0.682,133.0,0.243,0.206
2003,ÇÑÈ­,0.254,133,5198,4458,577,1131,218,20,121,1752,521,102,21.0,542,22,75,887,89.0,0.393,0.343,0.736,133.0,0.252,0.201
2003,LG,0.249,133,4964,4375,509,1088,188,29,106,1652,485,74,40.0,404,11,70,781,90.0,0.378,0.319,0.697,133.0,0.229,0.201
2004,Çö´ë,0.275,133,5322,4480,692,1233,190,13,134,1851,653,111,38.0,607,29,86,871,109.0,0.413,0.37,0.783,133.0,0.286,0.28
2004,SK,0.272,133,5254,4499,655,1223,196,9,138,1851,626,105,35.0,521,24,93,818,98.0,0.411,0.357,0.768,132.0,0.271,0.159
2004,»ï¼º,0.269,133,5170,4509,641,1215,225,9,132,1854,600,84,31.0,460,22,86,704,122.0,0.411,0.346,0.757,131.0,0.268,0.16
2004,ÇÑÈ­,0.268,133,5150,4519,632,1213,245,17,140,1912,605,88,33.0,456,14,54,923,107.0,0.423,0.34,0.763,133.0,0.262,0.248
2004,µÎ»ê,0.268,133,5109,4485,606,1200,202,19,89,1707,573,55,40.0,433,12,96,780,86.0,0.381,0.342,0.723,132.0,0.268,0.218
2004,KIA,0.267,133,5190,4426,643,1182,224,9,143,1853,610,82,54.0,549,22,79,693,118.0,0.419,0.354,0.773,132.0,0.263,0.263
2004,LG,0.259,133,5081,4432,588,1150,176,24,102,1680,554,73,40.0,441,18,95,892,89.0,0.379,0.337,0.716,133.0,0.264,0.193
2004,·Ôµ¥,0.252,133,5075,4462,533,1125,195,21,88,1626,500,74,31.0,416,15,92,853,99.0,0.364,0.327,0.691,132.0,0.248,0.146
2005,ÇÑÈ­,0.27,126,4841,4304,622,1163,211,9,159,1869,594,31,31.0,400,12,75,824,121.0,0.434,0.341,0.775,126.0,0.261,0.22
2005,µÎ»ê,0.27,126,4922,4256,596,1147,183,17,63,1553,558,81,35.0,465,14,85,701,93.0,0.365,0.351,0.716,126.0,0.275,0.164
2005,SK,0.269,126,4984,4230,589,1139,174,12,122,1703,559,136,38.0,495,27,85,806,88.0,0.403,0.355,0.758,126.0,0.249,0.265
2005,»ï¼º,0.268,126,4975,4234,614,1134,178,6,111,1657,575,98,34.0,500,21,109,748,112.0,0.391,0.357,0.748,126.0,0.265,0.204
2005,KIA,0.26,126,4848,4234,541,1102,183,13,99,1608,507,79,31.0,430,24,74,718,101.0,0.38,0.337,0.717,125.0,0.24,0.191
2005,LG,0.26,126,4785,4222,601,1098,189,21,105,1644,554,80,41.0,349,12,93,915,72.0,0.389,0.327,0.716,126.0,0.276,0.247
2005,Çö´ë,0.256,126,4899,4190,563,1071,168,16,134,1673,529,105,26.0,458,12,120,817,85.0,0.399,0.344,0.743,125.0,0.241,0.257
2005,·Ôµ¥,0.253,126,4722,4177,500,1058,202,23,83,1555,470,94,20.0,361,11,70,856,83.0,0.372,0.322,0.694,125.0,0.261,0.228
2006,Çö´ë,0.27,126,4798,4092,547,1104,172,9,92,1570,518,153,32.0,444,17,77,628,108.0,0.384,0.35,0.734,126.0,0.272,0.207
2006,µÎ»ê,0.258,126,4708,4147,455,1068,152,28,55,1441,425,81,27.0,368,14,83,635,102.0,0.347,0.328,0.675,126.0,0.258,0.176
2006,KIA,0.255,126,4754,4181,476,1067,191,22,62,1488,431,102,26.0,390,20,55,650,90.0,0.356,0.325,0.681,126.0,0.247,0.259
