연도,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2002,브리또,삼성,128,3,1,2,33.3,0,0
2002,이승엽,삼성,133,3,1,2,33.3,0,0
2002,김일경,현대,57,1,1,0,100.0,0,0
2002,서성민,현대,36,1,1,0,100.0,0,0
2002,서한규,현대,86,1,1,0,100.0,0,0
2002,조재호,현대,61,3,1,2,33.3,0,0
2002,황윤성,현대,25,1,1,0,100.0,0,0
2002,조경택,한화,107,3,1,2,33.3,0,0
2002,황우구,한화,43,2,1,1,50.0,0,0
2002,김인철,KIA,37,1,1,0,100.0,0,0
2002,심제훈,KIA,4,1,1,0,100.0,0,0
2002,장일현,KIA,81,1,1,0,100.0,0,0
2002,김동수,SK,95,2,1,1,50.0,0,0
2002,김태균,롯데,67,3,1,2,33.3,0,0
2002,박남섭,롯데,29,1,1,0,100.0,0,0
2002,엄정대,롯데,51,1,1,0,100.0,0,0
2002,이대호,롯데,74,1,1,0,100.0,0,0
2002,이동욱,롯데,79,3,1,2,33.3,0,0
2002,최기문,롯데,123,5,1,4,20.0,0,0
2002,김성균,두산,3,0,0,0,-,0,0
2002,김학재,두산,2,0,0,0,-,0,0
2002,레스,두산,1,0,0,0,-,0,0
2002,문희성,두산,13,0,0,0,-,0,0
2002,유재웅,두산,52,0,0,0,-,0,0
2002,윤태수,두산,3,0,0,0,-,0,0
2002,이경환,두산,1,0,0,0,-,0,0
2002,이상훈,두산,2,0,0,0,-,0,0
2002,이재영,두산,2,0,0,0,-,0,0
2002,이종민,두산,14,0,0,0,-,0,0
2002,이혜천,두산,1,0,0,0,-,0,0
2002,진필중,두산,1,0,0,0,-,0,0
2002,차명주,두산,1,0,0,0,-,0,0
2002,강영식,삼성,1,0,0,0,-,0,0
2002,권혁,삼성,1,0,0,0,-,0,0
2002,김수관,삼성,1,0,0,0,-,0,0
2002,김승관,삼성,12,0,0,0,-,0,0
2002,김승권,삼성,59,0,0,0,-,0,0
2002,김진웅,삼성,1,0,0,0,-,0,0
2002,노병오,삼성,1,0,0,0,-,0,0
2002,노장진,삼성,3,0,0,0,-,0,0
2002,라형진,삼성,1,0,0,0,-,0,0
2002,박봉수,삼성,8,0,0,0,-,0,0
2002,손주인,삼성,1,0,0,0,-,0,0
2002,오상민,삼성,1,0,0,0,-,0,0
2002,이준민,삼성,8,0,0,0,-,0,0
2002,이태호,삼성,8,0,0,0,-,0,0
2002,임창용,삼성,2,0,0,0,-,0,0
2002,장성국,삼성,9,0,0,0,-,0,0
2002,장영균,삼성,5,0,0,0,-,0,0
2002,조동찬,삼성,5,0,0,0,-,0,0
2002,진갑용,삼성,133,0,0,0,-,0,0
2002,최형우,삼성,4,0,0,0,-,0,0
2002,하춘동,삼성,15,0,0,0,-,0,0
2002,현재윤,삼성,20,0,0,0,-,0,0
2002,강귀태,현대,74,2,0,2,0.0,0,0
2002,강병식,현대,89,2,0,2,0.0,0,0
2002,김민우,현대,25,0,0,0,-,0,0
2002,김필중,현대,3,0,0,0,-,0,0
2002,박우호,현대,12,0,0,0,-,0,0
2002,배힘찬,현대,1,0,0,0,-,0,0
2002,이대환,현대,1,0,0,0,-,0,0
2002,이용주,현대,23,0,0,0,-,0,0
2002,전근표,현대,11,0,0,0,-,0,0
2002,전준호,현대,1,0,0,0,-,0,0
2002,조승현,현대,31,0,0,0,-,0,0
2002,조용준,현대,3,0,0,0,-,0,0
2002,채종국,현대,100,2,0,2,0.0,0,0
2002,김백만,한화,3,0,0,0,-,0,0
2002,김병준,한화,1,0,0,0,-,0,0
2002,김장백,한화,1,0,0,0,-,0,0
2002,김정수,한화,5,0,0,0,-,0,0
2002,김홍집,한화,3,0,0,0,-,0,0
2002,마정길,한화,6,0,0,0,-,0,0
2002,박정진,한화,3,0,0,0,-,0,0
2002,방진호,한화,2,0,0,0,-,0,0
2002,백재호,한화,78,1,0,1,0.0,0,0
2002,서창호,한화,14,0,0,0,-,0,0
2002,송진우,한화,1,0,0,0,-,0,0
2002,송혁,한화,12,0,0,0,-,0,0
2002,신국환,한화,7,0,0,0,-,0,0
